title;author;isbn13;format;publisher;pages;dimensions;overview
Baseball: A Literary Anthology;Nicholas Dawidoff;9781931082099;Hardcover;Library of America;721;6.28 (w) x 9.43 (h) x 1.59 (d);"<p>Robert Frost never felt more at home in America than when watching baseball ""be it in park or sand lot."" Full of heroism and heartbreak, the most beloved of American sports is also the most poetic, and writers have been drawn to this sport as to no other. With <b>Baseball: A Literary Anthology</b>, The Library of America presents the story of the national adventure as revealed through the fascinating lens of the great American game.</p> <p>Philip Roth considers the terrible thrill of the adolescent centerfielder; Richard Ford listens to minor-league baseball on the radio while driving cross-country; Amiri Baraka remembers the joy of watching the Newark Eagles play in the era before Jackie Robinson shattered the color line. Unforgettable portraits of legendary players who have become icons-Babe Ruth, Ty Cobb, and Hank Aaron-are joined by glimpses of lesser-known characters such as the erudite Moe Berg, who could speak a dozen languages ""but couldn't hit in any of them.""</p> <p>Poems in <b>Baseball: A Literary Anthology</b> include indispensable works whose phrases have entered the language-Ernest Thayer's ""Casey at the Bat"" and Franklin P. Adams's ""Baseball's Sad Lexicon""-as well as more recent offerings from May Swenson, Yusef Komunyakaa, and Martin Espada. Testimonies from classic oral histories offer insights into the players who helped enshrine the sport in the American imagination. Spot reporting by Heywood Broun and Damon Runyon stands side by side with journalistic profiles that match baseball legends with some of our finest writers: John Updike on Ted Williams, Gay Talese on Joe DiMaggio, Red Smith on Lefty Grove.</p>"
Loving in the War Years: Lo que nunca paso por sus labios;Cherrie Moraga;9780896086265;Paperback;South End Press;264;5.30 (w) x 8.30 (h) x 0.50 (d);"<p>Weaving together poetry and prose, Spanish and English, family history and political theory, <i>Loving in the War Years</i> has been a classic in the feminist and Chicano canon since its 1983 release. This new edition—including a new introduction and three new essays—remains a testament of Moraga's coming-of-age as a Chicana and a lesbian at a time when the political merging of those two identities was severely censured.</p> <p>Drawing on the Mexican legacy of Malinche, the symbolic mother of the first mestizo peoples, Moraga examines the collective sexual and cultural wounding suffered by women since the Conquest. Moraga examines her own mestiza parentage and the seemingly inescapable choice of assimilation into a passionless whiteness or uncritical acquiescence to the patriarchal Chicano culture she was raised to reproduce. By finding Chicana feminism and honoring her own sexuality and loyalty to other women of color, Moraga finds a way to claim both her family and her freedom.</p> <p>Moraga's new essays, written with a voice nearly a generation older, continue the project of ""loving in the war years,"" but Moraga's posture is now closer to that of a zen warrior than a street-fighter. In these essays, loving is an extended prayer, where the poet-politica reflects on the relationship between our small individual deaths and the dyings of nations of people (pueblos). <i>Loving</i> is an angry response to the ""cultural tyranny"" of the mainstream art world and a celebration of the strategic use of ""cultural memory"" in the creation of an art of resistance.</p> <p><b>Cherríe Moraga</b> is the co-editor of the classic feminist anthology <i>This Bridge Called My Back</i> and the author of <i>The Last Generation.</i> She is Artist-in-Residence at Stanford University.</p>"
Don't Squat With Your Spurs On: A Cowboy's Guide to Life;Texas Bix Bender;9781423606994;Paperback;Smith, Gibbs Publisher;128;4.20 (w) x 6.70 (h) x 0.50 (d);"<p>""If you find yourself in a hole, the first thing to do is stop digging.""</p>"
Listening For God Reader Volume 3;Paula J. Carlson;9780806639628;Paperback;Augsburg Fortress, Publishers;160;5.50 (w) x 8.50 (h) x 0.34 (d);Keep up with current culture while you integrate the perspectives of Christian faith. This two-part resource helps adults explore the issues of discipleship and theology through the guided interaction of 8-10 selections of American literature. Volume 3 authors include John Cheever, Tillie Olsen, Wallace Stegner, and others. Features a reader edition for participants and a guide for leaders.
Fierce Pajamas: An Anthology of Humor Writing from the New Yorker;David Remnick;9780375761270;Paperback;Random House Publishing Group;528;6.14 (w) x 9.20 (h) x 1.12 (d);<p>When Harold Ross founded <i>The New Yorker</i> in 1925, he called it a “comic weekly.” And although it has become much more than that, it has remained true in its irreverent heart to the founder’s description, publishing the most illustrious literary humorists in the modern era—among them Robert Benchley, Dorothy Parker, Groucho Marx, James Thurber, S. J. Perelman, Mike Nichols, Woody Allen, Calvin Trillin, Garrison Keillor, Ian Frazier, Roy Blount, Jr., Steve Martin, and Christopher Buckley. <i>Fierce Pajamas</i> is a treasury of laughter from the magazine W. H. Auden called the “best comic magazine in existence.”</p>
The Top 500 Poems;William Harmon;9780231080286;Hardcover;Columbia University Press;1132;6.29 (w) x 9.32 (h) x 1.97 (d);"<p><i>The Top 500 Poems</i> offers a vivid portrait of poetry in English, assembling a host of popular and enduring poems as chosen by critics, editors, poets, and general readers. These works speak across centuries, beginning with Chaucer's resourceful inventions and moving through Shakespeare's masterpieces, John Donne's complex originality, and Alexander Pope's mordant satires. The anthology also features perennial favorites such as William Blake, William Wordsworth, and John Keats; Emily Dickinson's prisms of profundity; the ironies of Wallace Stevens and T.S. Eliot; and the passion of Sylvia Plath and Allen Ginsberg. These 500 poems are verses that readers either know already or will want to know, encapsulating the visceral power of truly great literature. William Harmon provides illuminating commentary to each work and a rich introduction that ties the entire collection together.</p> <p> Columbia University Press</p> <p>For the first time, here is our generation's definitive view of the greatest poetry in the English language. This collection of 500 poems is based on the collective choice of 550 critics, editors, and poets whose anthologies are indexed in The Columbia Granger's Index to Poetry. If you've wondered which collection of poetry to buy for yourself or as a special gift--this is it! </p>"
True Crime: An American Anthology;Harold Schechter;9781598530315;Hardcover;Library of America;900;5.96 (w) x 10.92 (h) x 2.02 (d);<p>Americans have had an uneasy fascination with crime since the earliest European settlements in the New World, and right from the start true crime writing became a dominant genre in American writing. <i>True Crime: An American Anthology</i> offers the first comprehensive look at the many ways in which American writers have explored crime in a multitude of aspects: the dark motives that spur it, the shock of its impact on society, the effort to make sense of the violent extremes of human behavior. Here is the full spectrum of the true crime genre, including accounts of some of the most notorious criminal cases in American history: the Helen Jewett murder and the once-notorious 'Kentucky tragedy' of the 1830s, the assassination of President Garfield, the Snyder- Gray murder that inspired <i>Double Indemnity</i>, the Lindbergh kidnapping, the Black Dahlia, Leopold and Loeb, and the Manson family. <i>True Crime</i> draws upon the writing of literary figures as diverse as Nathaniel Hawthorne (reporting on a visit to a waxworks exhibit of notorious crimes), Ambrose Bierce, Mark Twain, Theodore Dreiser (offering his views on a 1934 murder that some saw as a 'copycat' version of <i>An American Tragedy</i>), James Thurber, Joseph Mitchell, and Truman Capote and sources as varied as execution sermons, murder ballads, early broadsides and trial reports, and tabloid journalism of many different eras. It also features the influential true crime writing of best-selling contemporary practitioners like James Ellroy, Gay Talese, Dominick Dunne, and Ann Rule.</p>
I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer;Ruth Peltason;9780061174070;Paperback;HarperCollins Publishers;;;
African American Literature (Penguin Academics Series);Keith Gilyard;9780321113412;Paperback;Longman;1376;5.40 (w) x 8.20 (h) x 1.60 (d);<p><i>African-American Literature</i> is thematically arranged, comprehensive survey of African-American Literature.</p>
Anthology of American Literature, Volume I;George McMichael;9780205779390;Paperback;Longman;2256;6.40 (w) x 9.20 (h) x 2.00 (d);<p>Pick a Penguin Program*</p> <p>We offer select Penguin Putnam titles at a substantial discount to your students when you request a special package of one or more Penguin titles with this text. Among the many American Literature titles available from Penguin Putnam are:</p> <p>· Stephen Crane, <i>The Red Badge of Courage</i></p> <p>· Frederick Douglass, <i>Narrative of Frederick Douglass</i></p> <p>· Nathaniel Hawthorne, <i>The Scarlet Letter</i></p> <p>· James Fennimore Cooper, <i>The Last of the Mohicans</i></p> <p>· Washington Irving<i>,The Legend of Sleepy Hollow and Other Stories</i></p>
